Site,Plot,Soil_Type,Depth,SBA,TotVolFag,StemBMFag,CarbonFag,CrownBMFag,RootBMFag,TotBMFag,PlotBMFag,Fungi,MCMSite,MCOSite,DBH,Height,CrownBaseHgt,Ilexno,Ilex_Height,Ilex_DBH,Betulano,Taxusno,Fagusno,Fagus50DBH,Fagus80DBH,Vsml,Med,Lrg,Huge,Squirrel,Debarking,IlexJuv,CarbonIlexJuv,FagusJuv,CarbonFagusJuv,BetulaJuv,TotJuv,Ilex snags,CarbonIlexSnags,Snag rot,Snag bark present,DW Decay,DW Bark,SnagTot,SnagFagus,SnagIlex,SnagQuer,Fagus deadwood (m3),Ilex Lying Deadwood (m3),Quercus Lying Deadwood (m3),Birch Lying Deadwood,Lying Deadwood Total (m3),Canopy_openness,COpro ,Under_openness,Canopy Openness Total,Structural Crown Loss (%),Leave Loss,Crown Condition,Discolouration,Condition_unhealthiness,Condition,Undercond,IlexSL,FagusSL,QuerSL,TaxusSL,Other seedlings,TotSL,FagusBrowse,IlexBrowse,Trampling,Hollyshrub,Rubusshrub,IlexEat,Ilex_Eat,RubEat,Sward,CervusDung1,CervusDung2,CervusDung3,CervusDung4,Cervus DungTot,Eqqus Dung1,Eqqus Dung2,Eqqus Dung3,Eqqus Dung4,Eqqus DungTot,LOIO,LOIM,NO3O,NH4O,NO3M,NH4M,PMN.Org,PMN.Min,Bracken,Moss,BareGround,BG.M,Litter,CompTot,CompGF,CompTree,Grass,SBA.PC.Diff,SBA66,CerDungPro,EqqDungPro,DungTot,DungTotPro,Dun,Dung,SBAPC,Sor_sim,LichenRichOth,LichenRichTot,LichenRicHol,LichenRichBeech,CarbonSoil,NitSoil,CNRatioSoil,K,Ca,Mg,Na,Al,Mn,Fe,P,MF_Min,MF_Org,pH,EC,RCAmm,RCNit,Clay,Silt,Sand,Tex_Class,Bulk_Den
BlackBush,1 - Intact,71107,3,63.2,41.20510861,22.66280974,11.33140487,0.468420175,0.870574204,24.00180412,216.016237,11,0,,59.8008454,31.6350738,10.52723059,2,7.8,17.7,0,0,9,6,0,3,1,4,1,0.666666667,0.8,26,,0,,0,26,6,,1,65,2.428571429,0.714285714,6231.965844,0,6231.965844,0,0.293508163,0,0,0,0.293508163,3.25,0.0325,0,3.25,14.375,12.5,2.25,21.25,12.59375,87.40625,80,165,2,0,0,0,2,87.5,22.72727273,5,1,0,0.458333333,45.83333333,NA,0,0,51,37,0,88,0,0,41,9,50,67.51719154,7.088558993,0.01418849,0.001568504,0.043233884,0.022985009,0.928672316,0.031779661,1,1,1,2,100,7,4,3,0,0,0,57,23,138,80,7.95,0.795,0,1,0,41,12,29,2.303014486,0.119804508,19.22310375,0.177138697,0.313668779,0.266170646,0.078874284,4.571811494,0.061732118,0.027646558,3.445,1.218288167,2.133166061,4.27,1117,8.250669045,1.939849624,24,27,49,Sandy Clay Loam,1.387669642
BlackBush,2 - Slight,71107,4.4,47.73,30.89469193,16.99208056,8.49604028,0.680816257,1.205467177,18.87836399,94.39181997,9,0.098691196,,69.72389834,33.17775898,7.198484936,2,1.3,7.25,0,3,5,4,2,1,1,1,2,0.6,2,0,,0,,0,0,1,,2,52.5,2.333333333,54,29699.81688,29579.66824,120.1486402,0,0.361664996,0.029393134,0.061473774,0,0.452531904,8.45,0.0845,0.78,9.23,6,17.5,2,7,8.125,91.875,36,154,0,0,0,0,0,85.71428571,0,5,1,1,0.518518519,51.85185185,37,0,9,346,5,6,360,0,0,0,12,12,43.94826994,8.121015463,0.018342017,0.006083001,0.024762482,0.029092418,0.483757062,0.071798493,0,5,0,5,95,11,7,4,1,24.4778481,18.69,273,3,372,276,27.55,2.755,0.244778481,0.307692308,5,29,2,22,2.502452097,0.114950832,21.76976066,0.104228535,0.207094243,0.199797002,0.080053114,3.59418977,0.017687611,0.031838749,3.64,1.316979363,2.757627391,4.24,68.1,12.35414808,3.654135338,18,31,51,Loam,1.501587611
BlackBush,3 - Moderate,71107,2.68,33.67,20.19533248,11.10743286,5.553716432,0.584135199,1.055204538,12.7467726,50.98709041,7,0.068005548,,65.48,29.61111572,8.043517051,5,1.62,10.68,0,0,4,4,0,0,2,1,1,0.25,1,0,,0,,0,0,1,,2,60,2.923076923,21.53846154,172.2924809,0,172.2924809,0,0.846192081,0.064207282,0,0,0.910399363,22.555,0.22555,0,22.555,15,17.5,2.25,6.666666667,10.35416667,89.64583333,85,141,0,1,0,0,1,100,28.57142857,5,1,1,0.485148515,48.51485149,24.50980392,13,127,0,27,0,154,0,0,0,0,0,71.9422419,6.144644075,0.039026716,0.015639382,0.04250076,0.031644483,1.018126177,0.157721281,1,1,1,2,30,15,12,3,70,46.72446665,32.75,141,0,154,141,14.05,1.405,0.467244667,0.333333333,0,32,13,19,2.617335572,0.162972075,16.06002479,0.117702751,0.734078099,0.563249872,0.053739301,3.210799222,0.153716141,0.009093383,4.4599,1.286293715,2.238901048,4.37,150.9,1.319357716,24.90225564,23,37,40,Loam,1.552986434
BlackBush,4 - Major,71107,3.85,18.1,10.66123941,5.863681674,2.931840837,1.489721043,2.374659156,9.728061873,9.728061873,6,0.006592242,,96,35.33778549,10.07822601,3,,,0,0,1,1,1,0,0,0,1,0,3.33,4,,0,,0,4,3,,2,5,2.166666667,63.46666667,14906.5643,7661.607912,7244.956383,0,2.784405185,0.085449435,0,0,2.86985462,32.955,0.32955,0,32.955,5,10,3,20,9.5,90.5,40.33333333,66,0,0,0,0,0,100,16.66666667,5,1,1,0.421568628,42.15686275,42.15686275,23.5,38,34,105,0,177,0,0,0,0,0,36.52355864,5.727937735,0.017860713,0.000745192,0.069852617,0.051289529,0.740348399,0.063559322,75,1,0,1,25,12,10,2,1,71.36776316,48.32,116,0,177,116,11.6,1.16,0.713677632,0.375,0,28,10,18,2.400419473,0.11763821,20.40510022,0.244409253,0.58866861,0.443119149,0.075114955,3.696296618,0.029561873,0.022589477,3.2431,1.224880409,3.114908345,4.24,80.7,3.424620874,93.83458647,25,26,49,Sandy Clay Loam,1.432708183
BlackBush,5 - Total,71107,4,0,0,0,0.00001,0,0,0,0,2,0.103084549,,NA,NA,NA,10,,,0,1,0,0,0,NA,NA,NA,NA,NA,1.15,0,,0,,0,0,0,,2,5,2.222222222,0,37812.86214,37812.86214,0,0,0.636241627,0,3.00782678,0,3.644068407,53.56,0.5356,14.69,68.25,NA,NA,NA,NA,NA,NA,71.25,137,3,1,0,1,5,100,14.28571429,5,15,25,0.61,61,37,38.8,80,13,0,0,93,0,0,0,17,17,72.6652184,8.818618642,0.029014776,0.016022232,0.022288215,0.039502184,0.575564972,0.16007533,0,30,5,35,20,23,17,6,25,100,66.42,90,4,110,94,9.4,0.94,1,0.24,11,38,17,10,3.057038211,0.168620244,18.12972237,0.131342221,0.970947611,0.400231993,0.046345881,5.331967043,0.105205694,0.033477833,4.2672,1.321372716,1.860359225,4.58,49.9,3.201605709,9.639097744,25,28,47,Loam,1.657783342
Bramshaw,1 - Intact,71107,12.55,62.49,30.47303334,16.76016834,8.380084168,1.770739349,2.756774131,21.28768182,63.86304545,6,0,,103,29.70328855,11.03602064,5,,,0,0,3,3,2,0,0,1,1,0,0.2,2,,0,,0,2,3,,1,63.33333333,NA,NA,2484.446154,0,2484.446154,0,0,0,0,0,0,4.056,0.04056,0,4.056,1.666666667,15,2.666666667,50,17.33333333,82.66666667,75.83333333,0,0,0,0,0,0,100,83.33333333,10,1,0,0.85,85,NA,0,106,236,60,22,424,0,0,11,23,34,37.27100785,7.765412941,0.014478593,0.002712681,0.075883254,0.045420793,0.23555392,0.067169672,0,1,0,1,99,5,1,4,0,0,0,319,11,458,330,32.975,3.2975,0,1,7,35,10,18,3.405896648,0.119959454,28.39206524,0.131422371,0.127497814,0.300370762,0.090576441,3.640537934,0.003039446,0.187906685,3.6464,1.344204273,2.794060635,4.07,114.4,12.69313113,0.045112782,17,26,57,Sandy Loam,1.651447496
Bramshaw,2 - Slight,71107,5.4,48.25,22.44190727,12.343049,6.171524501,0.689815831,1.219294084,14.25215892,71.26079458,18,-0.039278128,,70.1,22.40684761,7.839800371,8,,,1,0,5,3,2,1,1,1,2,0,1.5,22,,1,,0,23,1,,1,50,1.666666667,67.5,815.2477463,0,815.2477463,0,0.268443804,0,0,0,0.268443804,7.384,0.07384,1.144,8.528,12.14285714,22.14285714,2.142857143,22.85714286,14.82142857,85.17857143,44.44444444,4,0,0,0,0,0,100,17.64705882,5,1,1,0.643564356,64.35643564,NA,0,133,253,85,18,489,0,0,6,3,9,44.61053582,5.512117344,0.002554263,0.007229697,0.097222672,0.049214126,0.457305852,0.098454177,1,1,0,1,94,15,11,4,5,22.78694484,18.17,370,4,498,374,37.35,3.735,0.227869448,0.142857143,8,38,9,21,2.398072742,0.12069826,19.86832903,0.123376534,0.17870508,0.190787142,0.045870823,2.785377351,0.076323345,0.022497213,13.9527,1.304926145,3.309594805,4.46,66.5,1.154326494,0.015037594,16,27,57,Sandy Loam,1.387929812
Bramshaw,3 - Moderate,71107,5.25,30.58,17.06321351,9.384767431,4.692383715,1.211450551,1.98608178,12.58229976,25.16459952,11,-0.088023569,,88.24,31.37377683,11.53012136,10,,,0,0,2,2,2,0,0,0,2,0,1.13,36,,0,,0,36,0,,0,0,2.166666667,76.08333333,0,0,0,0,5.675534134,0,0,0,5.675534134,12.532,0.12532,14.456,26.988,5,20,3,40,17,83,66,5,0,0,0,0,0,100,36.38,15,2,1,0.31,31,42.15686275,14,0,120,42,5,167,0,12,69,17,98,50.27012764,4.930661302,0.005753857,0,0.104994861,0.045263192,0.48951049,0.067169672,15,10,1,11,85,14,9,5,12,51.06940622,35.84,112,48,265,160,16,1.6,0.510694062,0.166666667,0,24,11,13,2.606104143,0.111778173,23.31496465,0.070111281,0.091148759,0.122309663,0.036332433,2.872816906,0.006705635,0.018552628,4.439,1.256180704,2.899305581,4.33,54.1,0.190900981,0.345864662,15,23,62,Sandy Loam,1.666909015
Bramshaw,4 - Major,71107,7.5,18.07,9.112433727,5.01183855,2.505919275,0.636571375,1.137104873,6.785514798,13.5710296,11,-0.13679946,,67.83,24.41030441,8.306944825,7,,,0,0,2,2,0,0,1,0,1,1.9,NA,90,,0,,0,90,0,,2,65,1.641025641,82.35897436,21600.81592,21600.81592,0,0,8.247022076,0,0,0,8.247022076,26.52,0.2652,35.36,61.88,16.66666667,30,3,58.33333333,27,73,31.25,122,2,2,0,0,4,100,33.33333333,15,1,1,0.4,40,0,14,0,66,152,0,218,0,0,0,0,0,43.91294797,4.231677548,0.006822427,0.005461555,0.107973488,0.049258807,0.315605447,0.039565697,50,1,1,2,48,11,11,0,1,71.08230816,48.35,126,0,218,126,12.55,1.255,0.710823082,0.142857143,2,38,20,16,2.073325066,0.084671636,24.48665422,0.082468027,0.206719871,0.14684333,0.040664043,1.700836991,0.038895434,0.018174615,6.0416,1.207404813,2.812700273,3.97,85.2,0.552185549,44.33082707,12,23,65,Sandy Loam,1.587473716
Bramshaw,5 - Total,71107,5.9,0,0,0,0.00001,0,0,0,0,8,-0.090450835,,NA,NA,NA,2,,,0,0,0,0,0,NA,NA,NA,NA,NA,1.5,53,,0,,0,53,2,,2,42.5,3,32.67272727,15158.63537,15008.15256,150.4828117,0,16.91066635,0.1186537,0,0,17.02932005,59.904,0.59904,21.84,81.744,NA,NA,NA,NA,NA,NA,90,20,0,2,0,6,8,100,22.22222222,75,5,1,0.55,55,44,148,343,324,138,102,907,0,0,3,10,13,48.03923514,4.496095464,0.015862422,0.005313978,0.120098677,0.062980514,0.487670225,0.05520795,70,2,2,4,50,20,13,7,15,100,66.42,681,4,920,685,68.45,6.845,1,0.117647059,0,18,7,11,2.159292732,0.086815928,24.48665422,0.116407675,0.286500098,0.168932811,0.028795491,1.848258743,0.009081876,0.155844763,5.2392,1.253753438,3.12765566,4.45,81.9,5.458519179,12.57142857,13,23,64,Sandy Loam,1.395975552
Brinken,1 - Intact,84102,2.67,62.28,36.14737133,19.88105423,9.940527117,0.624734668,1.118703509,21.62449241,151.3714469,10,0,,67.31,28.79709674,9.576694312,3,,,0,0,7,5,2,2,3,0,2,0.285714286,1,1,,0,,0,1,1,,2,10,2.277777778,22.22222222,460.3480435,0,460.3480435,0,0.073035746,0.450829044,0.658303095,0,1.182167885,7.738,0.07738,0.104,7.842,0,11.42857143,2.285714286,17.85714286,7.892857144,92.10714286,76.66666667,12,0,0,0,0,0,100,80,15,1,1,0.58,58,56,4,0,29,0,0,29,0,16,95,16,127,74.03694818,5.431924661,0.034446302,0.008759323,0.115312465,0.073655484,0.814041746,0.123339658,1,1,0,1,75,9,6,3,25,0,0,22,64,156,85,8.525,0.8525,0,1,0,27,13,14,2.535028275,0.173516868,14.60969355,0.187920736,0.48553095,0.204385205,0.076809706,2.333740922,0.211903666,0.012615868,5.8638,1.288970974,1.985446504,3.9,240,0.164139161,6.270676692,19,32,49,Loam,1.155812249
Brinken,2 - Slight,84102,3,47.91,22.4876428,12.36820354,6.184101771,0.898353887,1.533227006,14.79978443,59.19913774,14,-0.014833081,,78.1,23.80294476,10.12162963,1,,,0,0,4,3,3,1,0,0,3,0,0,0,,0,,0,0,1,,2,17,2.444444444,28.33333333,252.8294863,0,252.8294863,0,0.606770844,0.058185438,0.018209613,0,0.683165895,13.468,0.13468,0,13.468,5,31.66666667,3,65,26.16666667,73.83333333,70,17,0,1,0,0,1,100,100,10,1,1,0.619047619,61.9047619,0.480392157,9,0,54,0,0,54,0,21,21,30,72,71.01948605,5.216484873,0.005169604,0.001890921,0.141329591,0.069997599,0.445920304,0.071157495,35,0,0,0,50,13,10,3,35,23.06953599,18.51,41,34,126,74,7.425,0.7425,0.23069536,0.8,0,26,3,23,2.44048353,0.127881533,19.08394022,0.125419368,0.364113122,0.218759014,0.078710138,2.309719892,0.156506177,0.018151036,5.247,1.274137893,1.12915031,4.13,99.1,16.21231044,27.96992481,16,27,57,Sandy Loam,1.402967943
Brinken,3 - Moderate,84102,3.23,32,18.50413027,10.17727165,5.088635824,0.77965577,1.355983328,12.31291075,36.93873224,6,-0.043140551,,73.7029624,29.78114785,12.46586443,3,,,2,0,3,3,1,0,2,0,1,0,0.83,10,,4,,1,15,0,,2,50,3,0.625,247.4004215,0,0,0,8.131792882,0.052245668,0.04870254,0,8.232741089,34.424,0.34424,12.792,47.216,5,33.33333333,3,65,26.58333333,73.41666667,55,121,16,0,0,4,20,100,27.27272727,5,1,15,0.38,38,52,13,39,27,8,1,75,0,0,3,1,4,84.26834615,3.733350885,0.011284658,0.001184212,0.243359431,0.104248993,0.684060721,0.006641366,15,10,1,11,1,27,22,5,60,48.62191009,34.42,64,2,79,65,6.525,0.6525,0.486219101,0.444444444,0,41,16,25,1.72994064,0.092876329,18.62628136,0.082125009,0.326694019,0.162524432,0.050787672,2.241402022,0.064633665,0.016223502,3.427,1.245830423,1.951305302,4.7,48.4,0.306868867,1.563909774,16,28,56,Sandy Loam,1.790481078
Brinken,4 - Major,84102,3.2,16.87,9.537446225,5.245595424,2.622797712,0.584570063,1.055887927,6.886053414,13.77210683,7,-0.011443771,,65.5,27.66501166,12.94554162,4,,,0,0,2,2,0,0,0,2,0,0,1.75,0,,0,,0,0,0,,0,0,3,11.2,0,0,0,0,0.334232445,0,1.159285297,0,1.493517742,52.208,0.52208,0,52.208,2.5,25,3,22.5,13.25,86.75,80,30,0,0,0,1,1,NA,100,50,1,5,0.5,50,35,5,0,0,38,2,40,0,0,0,0,0,75.5757936,5.24569533,0.048544687,0.015711042,0.159124345,0.104517071,0.872865275,0.048387097,1,1,1,2,1,27,22,5,99,72.90981867,49.55,20,0,40,20,1.95,0.195,0.729098187,0.484848485,12,33,15,6,1.960669705,0.134805939,14.54438671,0.043593284,0.450454745,0.168760147,0.036796173,2.386396064,0.080739027,0.011435387,4.04,1.277527203,2.034954014,3.99,148,0.008028546,15.56390977,18,27,55,Sandy Loam,1.411822898
Brinken,5 - Total,84102,3.9,0,0,0,0.00002,0,0,0,0,1,0.006933033,,NA,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,,0,,0,0,0,,3.666666667,3.333333333,3.05,20.25,18745.17978,18745.17978,0,0,7.494839998,0.048800715,0.095386267,0,7.639026979,72.8,0.728,8.424,81.224,NA,NA,NA,NA,NA,NA,95,1,0,0,0,0,0,NA,NA,75,1,5,0.28,28,17,82,0,50,0,0,50,0,0,0,0,0,77.64067906,5.777491373,0.019215807,0.011866905,0.170743805,0.081834997,0.781783681,0.074952562,50,10,1,11,1,31,26,5,50,100,66.42,38,0,50,38,3.75,0.375,1,0.390243902,6,13,0,7,2.298327322,0.16104038,14.27174554,0.082834021,0.728927554,0.237431643,0.062362967,2.064031697,0.055409325,0.010970674,4.851,1.295904007,1.898704762,4.26,138.4,8.228367529,17.72932331,18,31,51,Loam,1.476388108
Brockis Hill,1 - Intact,71108,6.37,66.25,36.31123453,19.97117899,9.985589496,0.673821473,1.194702543,21.83970301,152.8779211,15,0,,69.42951205,27.23285556,13.44500533,0,0,0,0,0,7,5,2,1,1,1,2,0,NA,49,,0,,0,49,0,,2,75,NA,NA,2829.318344,2829.318344,0,0,0,0,0,0,0,1.04,0.0104,0.91,1.95,7.857142857,20,2.142857143,18.57142857,12.14285714,87.85714286,NA,148,0,0,0,0,0,100,20,50,1,0,0.792079208,79.20792079,NA,0,0,0,0,0,0,0,0,11,0,11,31.68096896,8.277298486,0.011510233,0.002115851,0.084989179,0.060703621,0.488804554,0.10710677,0,1,1,2,100,6,3,3,1,0,0,0,6,11,6,0.55,0.055,0,1,0,31,3,28,3.47066908,0.126549333,27.42542378,0.116577198,0.102707279,0.190324922,0.080779908,3.055978756,0.004041279,0.029816253,3.6396,1.265874804,2.877558203,4.41,47.6,14.5396967,2.22556391,16,28,56,Sandy Loam,1.659420505
Brockis Hill,2 - Slight,71108,4.87,49.09,24.99760714,13.74868393,6.874341965,0.344927603,0.666106029,14.75971756,132.8374581,14,0.042814021,,52.70678851,22.75837264,11.42688954,1,,,0,0,9,2,1,3,5,1,1,0,1,65,,0,,0,65,0,,NA,NA,2,74,0,0,0,0,0.052857296,0,1.219631351,0,1.272488648,6.552,0.06552,1.872,8.424,2.222222222,17.77777778,1.777777778,30,12.94444445,87.05555555,75,147,2,0,0,0,2,100,6.67,5,1,0,1,100,NA,0,0,229,1,0,230,0,0,2,0,2,24.12576788,13.24857948,0.001664215,0.006424355,0.084865827,0.035564657,0.381024668,0.090266083,0,1,0,1,100,2,0,2,0,25.90492307,17.33,172,1,232,173,17.325,1.7325,0.259049231,0,0,28,6,22,3.647738933,0.148067057,24.6357226,0.177242384,0.196097412,0.379818929,0.101075039,7.91717878,0.004011575,0.039142169,2.5,1.308688825,2.912374856,3.93,95.1,0.712756467,0,27,27,46,Sandy Clay Loam,1.235240822
Brockis Hill,3 - Moderate,71108,4.55,33.72,27.24895275,14.98692401,7.493462005,0.585076453,1.056683629,16.62868409,66.51473637,8,0.086620709,,65.52327831,41.70449222,12.48471727,0,,,0,0,4,3,1,1,2,1,0,0,NA,0,,0,,0,0,0,,2,50,2.461538462,30,12597.6148,12597.6148,0,0,3.205811206,0,0.157363161,0,3.363174367,15.6,0.156,0,15.6,5,15,2,21.25,10.8125,89.1875,NA,766,0,0,0,0,0,NA,NA,15,20,0,0.26,26,NA,0,0,40,0,0,40,0,0,8,10,18,37.08458114,38.93253977,0,0.017680543,0.081115932,0.047785576,0.442504744,0.160996969,0,5,0,5,95,3,1,2,0,49.10619028,32.7,30,7,58,37,3.65,0.365,0.491061903,0.4,0,23,1,22,2.946679883,0.159996737,18.41712485,0.173913714,0.278374911,0.969234205,0.133133327,10.95811572,0.029716637,0.029087513,2.8704,1.352495513,2.531109327,4.21,68.1,5.904549509,0.015037594,38,28,34,Clay Loam,1.195027775
Brockis Hill,4 - Major,71108,3.77,18.24,7.853431437,4.31938729,2.159693645,0.212763874,0.434912088,4.967063252,24.83531626,9,-0.015255578,,43.10577688,17.7080899,7.81042336,2,,,0,0,5,2,0,1,1,1,2,0.6,0,20,,0,,0,20,1,,1.5,17.5,3.636363636,9.090909091,4532.006322,0,870.9450404,3661.061282,3.088229974,0.052720009,0,0,3.140949983,32.656,0.32656,0,32.656,8,20,2.2,29,14.8,85.2,65,283,0,0,0,0,0,92.308,13.3333,40,5,1,0.617647059,61.76470588,31.37254902,34,0,876,182,0,1058,0,0,0,0,0,36.2371676,31.97744639,0.021051117,0.008986076,0.053754229,0.026634225,0.770398482,0.135399124,20,20,5,25,75,10,8,2,1,72.46692667,48.18,748,0,1058,748,74.8,7.48,0.724669267,0.428571429,3,20,5,12,3.023953019,0.132406637,22.83837951,0.117274985,0.655804247,0.439397727,0.073599455,5.882300771,0.018606885,0.022759614,3.0502,1.250619226,2.455963505,4.23,58.1,0.547725245,0.45112782,27,30,43,Clay Loam,1.545219527
Brockis Hill,5 - Total,71108,3.4,0,0,0,0.00001,0,0,0,0,7,0.024454737,,NA,NA,NA,1,,,0,0,0,0,0,NA,NA,NA,NA,NA,1,76,,0,,0,76,0,,NA,NA,2.818181818,30.60606061,0,0,0,0,11.16928613,0,0,0.010993061,11.18027919,52.52,0.5252,6.89,59.41,NA,NA,NA,NA,NA,NA,85,105,5,0,0,0,5,100,0,15,8,20,0.3786,37.86,22.12,26,91,187,0,0,278,0,0,3,0,11,58.66135007,27.84439934,0.021442679,0.020850266,0.087652123,0.05391867,0.936622391,0.12596834,0,2,1,3,30,20,17,3,25,100,66.42,231,2,289,233,23.275,2.3275,1,0.214285714,2,18,15,1,2.501424065,0.157952185,15.83659049,0.191801161,0.839206789,0.437172621,0.053605015,9.051505,0.178503975,0.018512637,2.5,1.290329541,2.42094758,4.03,107.2,0,0,39,26,35,Clay Loam,1.387694344
DennyWood,1 - Intact,71107,4.5,61.76,38.29058773,21.05982325,10.52991163,0.267091803,0.531907792,21.85882285,306.0235199,13,0,,47.4,28.05452386,18.65137188,4,,,0,0,14,4,2,7,5,0,2,0.066666667,2.25,0,,1,,0,1,1,,,,,,494.452517,0,494.452517,0,0.548584493,0.064325131,0,0,0.612909624,1.612,0.01612,0,1.612,18.57142857,9.642857143,1.928571429,9.285714286,9.857142857,90.14285714,55,1,0,0,0,0,0,95.23809524,55.55555556,15,0,0,1,100,NA,0,0,19,15,6,40,0,0,5,0,5,39.71781547,59.74752021,0.048874292,0.01712187,0.087611261,0.065071279,0.539077213,0.086492455,0,1,1,2,100,3,1,2,0,0,0,23,3,45,26,2.575,0.2575,0,1,0,48,8,40,2.375210748,0.121808387,19.49956649,0.068194854,0.307920551,0.273492155,0.069126138,3.144230484,0.022680568,0.015244551,6.8794,1.267206127,2.304867225,3.77,1160,0,0,17,30,53,Sandy Loam,1.112519408
DennyWood,2 - Slight,71107,3.57,49.87,26.94905035,14.82197769,7.410988847,0.248677344,0.499382136,15.57003717,186.8404461,8,0.910919472,,46.01,23.69463099,15.6643976,1,,,0,0,12,4,0,8,1,2,1,0.3,1,1,,0,,0,1,1,,1,90,3.464285714,32.03571429,802.7407451,0,802.7407451,0,4.609805102,0.055857892,0,0,4.665662994,6.188,0.06188,0.624,6.812,6.538461538,11.66666667,2.166666667,16.66666667,9.259615386,90.74038461,70,0,0,0,0,0,0,83.33333333,33.33333333,15,1,1,1,100,NA,0.8,3,123,13,4,143,0,55,0,0,55,37.22258969,30.54578799,0.029070293,0.008356137,0.103775897,0.089249386,0.55673258,0.09201325,1,5,1,6,60,12,8,4,30,19.24636584,16.55,103,41,198,144,14.4,1.44,0.192463658,0.181818182,1,28,4,23,2.727803605,0.163775877,16.65571059,0.074897205,0.594134741,0.187355284,0.083831455,3.223294723,0.12497485,0.012055396,6.8848,1.85743817,1.827904862,4,139,2.256021409,19.14285714,17,32,51,Loam,1.066263338
DennyWood,3 - Moderate,71107,3.97,35.28,24.70887234,13.58987979,6.794939895,0.377664658,0.721200429,14.68874488,88.13246926,10,0.075034926,,54.72,33.45965719,15.6643976,0,0,0,0,0,6,3,1,2,4,0,1,0.3,0,0,,0,,0,0,0,,2,80,2.545454545,24.06818182,38347.22447,38347.22447,0,0,9.323252467,0,0.744948626,0,10.06820109,31.668,0.31668,0,31.668,9.166666667,20.83333333,2.166666667,19.16666667,12.83333333,87.16666667,NA,26,0,0,0,0,0,100,NA,10,1,1,0.34,34,32,0,0,0,0,0,0,0,0,60,11,71,41.36766322,41.82594853,0.003794784,8.95E-18,0.130866207,0.067415294,0.747410546,0.221751932,0,20,1,21,60,13,10,3,20,42.86971092,31.14,0,33,71,33,3.275,0.3275,0.428697109,0.142857143,0,39,0,39,2.923041775,0.133763411,21.85232683,0.050556401,1.04210784,0.216115452,0.071819055,2.52521972,0.01747515,0.015115972,3.838,1.330625046,2.249765051,4.01,121,6.983942908,1.578947368,15,27,58,Sandy Loam,1.096977383
DennyWood,4 - Major,71107,4.2,17.35,8.531728548,4.692450701,2.346225351,0.370190841,0.708684755,5.771326297,17.31397889,2,0.004972835,,54.27,21.98398712,14.70256615,0,0,0,0,0,3,1,1,1,1,0,1,0.333333333,NA,0,,0,,0,0,0,,2,67.5,3.342857143,21.14285714,34368.86301,34368.86301,0,0,6.48956189,0,0.009503318,0,6.499065208,57.2,0.572,3.614,60.814,33.33333333,57.5,3,5,24.70833333,75.29166667,NA,8,0,0,0,0,0,100,NA,5,0,1,0,0,28,14,162,654,93,56,965,0,0,0,2,2,51.51544995,6.906463332,0.039806835,0.025802412,0.140581624,0.044954495,0.666195857,0.149061465,1,5,1,6,10,20,17,3,80,71.90543565,49.07,713,1,967,714,71.35,7.135,0.719054357,0.086956522,0,35,0,35,2.336448149,0.106099387,22.02131613,0.112855673,0.558254148,0.242983067,0.050180393,2.60752103,0.036895572,0.014624197,3.0264,1.260562955,2.202644882,4.16,118,2.095450491,9.518796992,20,31,49,Loam,1.422208104
DennyWood,5 - Total,71107,5.6,0,0,0,0.00002,0,0,0,0,5,-0.003241948,,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,,0,,0,0,0,,NA,NA,3.142857143,0,0,0,0,0,0,0,0.271729753,0,0.271729753,71.344,0.71344,1.976,73.32,NA,NA,NA,NA,NA,NA,0,18,0,1,0,5,6,100,50,5,1,5,0.306818182,30.68181818,26,38,0,120,10,0,130,0,0,0,0,0,31.13358698,5.510331959,0.010713425,0.00045368,0.104017831,0.063073687,0.450800377,0.120537357,1,1,1,2,2,28,23,5,70,100,66.42,95,0,130,95,9.5,0.95,1,0.064516129,10,15,0,5,2.098653771,0.101478216,20.68083045,0.036865087,0.854451096,0.211627006,0.050359462,2.650221882,0.032960701,0.021732608,8.4915,1.252348172,1.587882656,4.5,59.9,1.0435,15.6265946,17,28,55,Sandy Loam,1.513992799
Eyeworth,1 - Intact,71107,6.65,64.33,35.88086726,19.73447699,9.867238497,0.55236399,1.005076587,21.29191757,170.3353406,16,0,,63.99383759,26.95245546,15.75392403,6,6.640595693,,0,0,8,6,1,1,1,5,1,0.142857143,2.5,0,,0,,0,0,1,,3,55,2.444444444,0,415.232155,0,415.232155,0,2.247379342,0,0,0,2.247379342,1.625,0.01625,0.52,2.145,5.625,11.25,1.625,7.75,6.5625,93.4375,80,12,0,0,0,0,0,NA,39,5,0,0,0.788819876,78.88198758,NA,0,0,0,0,0,0,0,0,63,23,86,45.31119549,5.299712059,0.013786327,0.008300255,0.038272224,0.02393667,0.374705288,0.056416302,0,1,0,1,100,6,2,4,0,0,0,0,37,86,37,3.725,0.3725,0,1,2,28,13,13,2.486230558,0.137770883,18.04612489,0.148173032,0.324474695,0.270885708,0.076825818,3.864356725,0.026716359,0.137812271,5.4692,1.251235019,3.015758775,4.86,136.4,,,26,33,41,Loam,1.415038531
