"","Site","Plot","SBAPC","SBA","Soil_Type","X100Clay","X100Silt","X100Sand","X100Bracken","X100Moss","X100BareGround","X100BG.M","X100Litter","X100Trampling","X100Hollyshrub","X100Rubusshrub","X100IlexEat","X100Grass","X100Canopy_openness","X100Under_openness","X100Canopy_Open_Total","X100LOIO","X100LOIM"
"1","BlackBush","1 - Intact",0,63.2,71107,-1.58562726374038,-0.847297860387204,0.120144311842063,-4.59511985013459,-4.59511985013459,-4.59511985013459,-3.89182029811063,6.90675477864855,-2.94443897916644,-4.59511985013459,-6.90675477864855,-5.38073494758958,-6.90675477864855,-3.39347533556825,-6.90675477864855,-3.39347533556825,0.731671274188321,-2.57316471628439
"2","BlackBush","2 - Slight",0.244778481,47.73,71107,-1.58562726374038,-0.75377180237638,0.0400053346136992,-6.90675477864855,-2.94443897916644,-6.90675477864855,-2.94443897916644,2.94443897916644,-2.94443897916644,-4.59511985013459,-4.59511985013459,-5.25675108336836,-4.59511985013459,-2.38271882975144,-4.8458009661714,-2.28586978602378,-0.243261757956109,-2.42601711736969
"3","BlackBush","3 - Moderate",0.467244667,33.67,71107,-1.73460105538811,-0.994622575144062,0.322773392263051,-4.59511985013459,-4.59511985013459,-4.59511985013459,-3.89182029811063,-0.847297860387204,-2.94443897916644,-4.59511985013459,-4.59511985013459,-5.3236071436756,0.847297860387203,-1.23361123613936,-6.90675477864855,-1.23361123613936,0.941598426419093,-2.7261740057958
"4","BlackBush","4 - Major",0.713677632,18.1,71107,-1.38629436111989,-0.800119300112113,-0.0400053346136992,1.09861228866811,-4.59511985013459,-6.90675477864855,-4.59511985013459,-1.09861228866811,-2.94443897916644,-4.59511985013459,-4.59511985013459,-5.46471835163789,-4.59511985013459,-0.710221041226922,-6.90675477864855,-0.710221041226922,-0.552711342008914,-2.8008293284911
"5","BlackBush","5 - Total",1,0,71107,-1.58562726374038,-0.944461608840851,0.200670695462151,-6.90675477864855,-0.847297860387204,-2.94443897916644,-0.619039208406224,-1.38629436111989,-2.94443897916644,-1.73460105538811,-1.09861228866811,-5.09334782679469,-1.09861228866811,0.142641363993281,-1.75912469073482,0.765284708726368,0.977702901088817,-2.33598548848567
"6","Bramshaw","1 - Intact",0,62.49,71107,-1.20831120592453,-0.75377180237638,-0.200670695462151,-6.90675477864855,-4.59511985013459,-6.90675477864855,-4.59511985013459,4.59511985013459,-2.19722457733622,-4.59511985013459,-6.90675477864855,-4.75915278446358,-6.90675477864855,-3.16356742164054,-6.90675477864855,-3.16356742164054,-0.520607978383345,-2.47465556176696
"7","Bramshaw","2 - Slight",0.227869448,48.25,71107,-1.3249254147436,-0.489548225318706,-0.363965377201412,-4.59511985013459,-4.59511985013459,-6.90675477864855,-4.59511985013459,2.75153531304195,-2.94443897916644,-4.59511985013459,-4.59511985013459,-5.03944692320403,-2.94443897916644,-2.52914641570288,-4.45913335284428,-2.37267804709813,-0.216419338944048,-2.84152278655457
"8","Bramshaw","3 - Moderate",0.510694062,30.58,71107,-1.15267950993839,-0.489548225318706,-0.489548225318706,-1.73460105538811,-2.19722457733622,-4.59511985013459,-2.09074109693377,1.73460105538811,-1.73460105538811,-3.89182029811063,-4.59511985013459,-5.77324835253756,-1.99243016469021,-1.94298763909813,-1.77792131016443,-0.995231488435359,0.010805209126744,-2.95913338942959
"9","Bramshaw","4 - Major",0.710823082,18.07,71107,-1.38629436111989,-0.619039208406224,-0.200670695462151,0,-4.59511985013459,-4.59511985013459,-3.89182029811063,-0.0800427076735365,-1.73460105538811,-4.59511985013459,-4.59511985013459,-5.51745289646471,-4.59511985013459,-1.01911409502926,-0.603252176443397,0.484457946918864,-0.244695764104335,-3.11933348090828
"10","Bramshaw","5 - Total",1,0,71107,-0.994622575144062,-0.663294217410264,-0.447312218043665,0.847297860387203,-3.89182029811063,-3.89182029811063,-3.17805383034795,0,1.09861228866811,-2.94443897916644,-4.59511985013459,-5.1974920060556,-1.73460105538811,0.401466702141469,-1.27501485685782,1.49909861946872,-0.0784708376964166,-3.05595777799867
"11","Brinken","1 - Intact",0,62.28,84102,-1.450010175506,-0.619039208406224,-0.160342650075179,-4.59511985013459,-4.59511985013459,-6.90675477864855,-4.59511985013459,1.09861228866811,-1.73460105538811,-4.59511985013459,-4.59511985013459,-5.1440804761082,-1.09861228866811,-2.47848909948329,-6.86749402465361,-2.46401059145307,1.04788982588768,-2.85702642083738
"12","Brinken","2 - Slight",0.23069536,47.91,84102,-1.58562726374038,-0.994622575144062,0.241162056816888,-0.619039208406224,-6.90675477864855,-6.90675477864855,-6.90675477864855,0,-2.19722457733622,-4.59511985013459,-4.59511985013459,-5.07853358057656,-0.619039208406224,-1.86019778642379,-6.90675477864855,-1.86019778642379,0.896330621844335,-2.89977171852939
"13","Brinken","3 - Moderate",0.486219101,32,84102,-1.73460105538811,-1.09861228866811,0.405465108108164,-1.73460105538811,-2.19722457733622,-4.59511985013459,-2.09074109693377,-4.59511985013459,-2.94443897916644,-4.59511985013459,-1.73460105538811,-5.56894697390684,0.405465108108164,-0.644455779814431,-1.9194760942944,-0.111475296285642,1.67833145635164,-3.24981574089231
"14","Brinken","4 - Major",0.729098187,16.87,84102,-1.65822807660353,-0.708185057924486,0.0400053346136992,-4.59511985013459,-4.59511985013459,-4.59511985013459,-3.89182029811063,-4.59511985013459,0,-4.59511985013459,-2.94443897916644,-5.29330482472449,4.59511985013459,0.0883774783772107,-6.90675477864855,0.0883774783772107,1.12956133533629,-2.89387947771112
"15","Brinken","5 - Total",1,0,84102,-1.65822807660353,-1.09861228866811,0.363965377201411,0,-2.19722457733622,-4.59511985013459,-2.09074109693377,-4.59511985013459,1.09861228866811,-4.59511985013459,-2.94443897916644,-5.87533193446824,0,0.984498981900689,-2.3860844537845,1.4646313114502,1.24484822841545,-2.79168952320567
"16","Brockis Hill","1 - Intact",0,66.25,71108,-1.58562726374038,-1.04596855518269,0.281851152140987,-6.90675477864855,-4.59511985013459,-4.59511985013459,-3.89182029811063,6.90675477864855,0,-4.59511985013459,-6.90675477864855,-4.83031175004481,-4.59511985013459,-4.55549501493095,-4.69033920754205,-3.9176481800667,-0.768472212524801,-2.4052532642841
"17","Brockis Hill","2 - Slight",0.259049231,49.09,71108,-1.65822807660353,-0.994622575144062,0.281851152140987,-6.90675477864855,-4.59511985013459,-6.90675477864855,-4.59511985013459,6.90675477864855,-2.94443897916644,-4.59511985013459,-6.90675477864855,-4.59511985013459,-6.90675477864855,-2.65763478530263,-3.95926537082823,-2.3860844537845,-1.14579665196507,-1.87915645419475
