"","Site","Plot","SBAPC","SBA","Soil_Type","Sward","CerDungPro","EqqDungPro","Fungi","Ilexno","Fagusno","IlexJuv","FagusJuv","TotJuv","Cervus.DungTot","Eqqus.DungTot","CompTot","CompGF","CompTree","DungTot","DungTotPro","LichenRichOth","LichenRichTot","LichenRicHol","LichenRichBeech","IlexSL","FagusSL","QuerSL","TotSL","BD..g.cm3.","Depth","SnagTot","SnagFagus","SnagIlex","SnagQuer","Fagus.deadwood..m3.","Ilex.Lying.Deadwood..m3.","Quercus.Lying.Deadwood..m3.","Lying.Deadwood.Total..m3.","LOIO","LOIM","NO3O","NO3M","NH4O","NH4M","PMNO","PMNM","CNRatioSoil","K","Ca","Mg","Na","Al","Mn","Fe","P","MF_Min","MF_Org","pH","EC","Soil_Respiration","Soil_Temp","Amb_Temp","MFSR","C_Storage..tonnes.hectares.","Biomass..m3.ha.","Clay","Silt","Sand","Bracken","Moss","BareGround","BG.M","Litter","Trampling","IlexEat","Grass","Canopy_openness","Under_openness","Canopy.Openness.Total","X100Clay","X100Silt","X100Sand","X100Bracken","X100Moss","X100BareGround","X100BG.M","X100Litter","X100Trampling","X100Hollyshrub","X100Rubusshrub","X100IlexEat","X100Grass","X100Canopy_openness","X100Under_openness","X100Canopy_Open_Total","X100LOIO","X100LOIM"
"32","JamesHill","2 - Slight",0.188955902,49.6,71107,0,32,14,6,1,12,24,0,24,42,20,5,2,3,62,46,0,34,6,28,160,0,0,0,1.440935555,5.25,4560.311401,4560.311401,0,0,0.134840429,0,0.622320707,0.757161136,52.6754275,6.617056027,1.023358285,0.500689792,18.42463465,4.232068866,116.1924119,19.81707317,18.97738673,0.144958137,1.333067728,0.617016524,0.089141748,4.504920824,0.077079999,0.040412194,3.248,1.339845884,2.491146454,4.97,101.4,41,16.14,22.3,0.900630425,265.3256337,264.8552701,22,35,43,0,2,1,3,98,5,0.455445545,1,8.996,1.04,10.036,0.22,0.35,0.43,0.001,0.02,0.01,0.03,0.98,0.05,0.15,0.001,0.004554455,0.01,0.08996,0.0104,0.10036,0.526754275,0.06617056
"33","JamesHill","3 - Moderate",0.473029599,32.23,71107,28,0,0,8,2,5,22,0,22,0,0,10,6,4,0,0,9,35,9,17,221,0,0,0,1.477164722,4.75,1093.430799,0,1093.430799,0,3.329973937,0,0.088760464,3.418734402,66.53767037,5.184853659,6.847689173,0.328597137,18.44088229,5.091897911,93.15718157,19.1395664,22.35555986,0.085259235,0.606724336,0.318594774,0.06786199,3.723188531,0.041566805,0.016461064,3.24,1.256179913,2.083653991,4.5,48.4,41.6,16.66,21.9,0.839786717,212.8152884,233.0456266,30,29,41,10,5,1,6,95,10,0.4,1,14.04,2.6,16.64,0.3,0.29,0.41,0.1,0.05,0.01,0.06,0.95,0.1,0.15,0.01,0.004,0.01,0.1404,0.026,0.1664,0.665376704,0.051848537
"34","JamesHill","4 - Major",0.704274273,18.09,71107,0,0,32,2,4,2,40,0,40,0,63,13,8,5,63,32,0,23,6,17,95,1,0,1,1.716619241,4.98,0,0,0,0,3.18603704,0.01045365,0,3.196490689,73.36557345,4.176879412,8.133514975,0.662989327,17.79920981,3.685534148,96.71409214,19.1395664,20.57280064,0.137200766,0.989642511,0.41403727,0.060658397,4.377098134,0.125120627,0.022372817,3.4528,1.267256742,1.872906691,4.8,59.4,35.6,17.54,31,0.601281189,179.0042005,173.9024099,27,36,37,0,1,1,2,88,5,0.48,12,27.56,8.008,35.568,0.27,0.36,0.37,0.001,0.01,0.01,0.02,0.88,0.05,0.2,0.01,0.0048,0.12,0.2756,0.08008,0.35568,0.733655735,0.041768794
"35","JamesHill","5 - Total",1,0,71107,26,0,0,2,2,0,9,0,9,0,0,24,18,6,0,0,0,11,3,8,64,2,0,4,1.513267858,4.6,675.9136594,0,675.9136594,0,11.57503832,0,0,11.57503832,82.3300531,2.394013248,2.850957311,0.802989794,9.828485102,2.575264489,77.23577236,9.823848238,24.01356024,0.086102717,0.437295322,0.115208356,0.030449533,1.666792811,0.033283899,0.009749342,3.2207,1.193778161,1.868473561,3.95,3000.23,38,17.46,22.5,0.782570731,108.0666804,160.2217097,28,38,34,0,20,5,25,0,20,0.699029126,40,54.99,5.304,60.294,0.28,0.38,0.34,0.001,0.2,0.05,0.25,0.001,0.2,0.02,0.15,0.006990291,0.4,0.5499,0.05304,0.60294,0.823300531,0.023940132
"36","Malwood","1 - Intact",0,65.02,71108,0,439,44,13,16,7,14,0,14,529,63,7,5,2,592,483,0,32,11,21,5,0,0,0,1.510149602,10.35,5560.979433,0,5560.979433,0,3.409629124,0.087630015,0,3.497259139,86.96949312,13.86769157,1.5449357,1.168723623,49.32734299,18.7231462,88.27683616,37.66478343,25.21541049,0.259974508,0.673954165,0.462772567,0.118776925,4.043737847,0.012426196,0.066374641,4.056,1.362397823,3.180190718,4.09,108.7,48.8,15.36,18.9,0.432808023,404.6186476,403.7317799,24,26,50,0,1,1,2,99,5,0.881188119,1,2.392,3.224,5.616,0.24,0.26,0.5,0.001,0.01,0.01,0.02,0.99,0.05,0.01,0.001,0.008811881,0.01,0.02392,0.03224,0.05616,0.869694931,0.138676916
"37","Malwood","2 - Slight",0.232806408,49.88,71108,17,98,17,15,12,5,20,3,24,130,23,11,8,3,153,115,0,24,9,15,113,0,0,0,1.462669224,3.1,1379.498509,0,1379.498509,0,4.489171152,0.069316205,0,4.558487357,72.92681294,9.751133765,1.212562221,1.241110659,25.77411638,21.85933866,125.7454488,39.2341494,20.04981819,0.115573417,0.384352815,0.261229256,0.093042868,4.764976584,0.051835082,0.01783996,2.6394,1.353350232,2.028010314,4.55,58.9,41.4,15.84,18.7,0.691540018,392.5867449,435.7785166,28,28,44,1,1,1,2,95,5,0.32,5,6.136,6.968,13.104,0.28,0.28,0.44,0.01,0.01,0.01,0.02,0.95,0.05,0.01,0.01,0.0032,0.05,0.06136,0.06968,0.13104,0.729268129,0.097511338
"38","Malwood","3 - Moderate",0.489500091,33.19,71108,6,262,9,12,4,3,3,0,3,319,25,28,23,5,344,271,0,42,10,32,150,10,2,15,1.225149951,3.43,432.8737686,0,432.8737686,0,8.871910773,0,0,8.871910773,75.49043163,9.485083032,4.218166897,0.63774595,46.31106428,21.54392526,113.7790333,34.32988073,18.65097417,0.139093615,0.622705987,0.302453993,0.08024036,4.257323048,0.069177775,0.053343389,5.0694,1.332889036,2.821953654,4.42,89.8,34.6,17.06,18.5,0.323496342,253.7854438,294.5333985,20,27,53,5,5,5,10,70,15,0.72,20,18.2,10.712,28.912,0.2,0.27,0.53,0.05,0.05,0.05,0.1,0.7,0.15,0.01,0.01,0.0072,0.2,0.182,0.10712,0.28912,0.754904316,0.09485083
"39","Malwood","4 - Major",0.736769752,17.11,71108,20,81,10,7,5,2,4,0,4,108,20,31,25,6,128,91,0,16,8,8,86,0,1,5,1.529966792,3.1,10173.9843,10173.9843,0,0,11.66349492,0.367023871,0,12.03051879,71.05287817,6.898159918,2.553577146,1.132023103,34.82774705,14.27680385,129.6688638,25.69836786,18.5077068,0.085727857,0.474139758,0.194956501,0.03971512,3.509623574,0.094369075,0.017265259,3.4335,1.319615502,1.952392126,4.05,111.5,29.8,16.52,21.9,0.669039977,227.3455301,291.2753871,16,24,60,20,20,2,22,50,10,0.47,15,38.064,8.424,46.488,0.16,0.24,0.6,0.2,0.2,0.02,0.22,0.5,0.1,0.01,0.01,0.0047,0.15,0.38064,0.08424,0.46488,0.710528782,0.068981599
"40","Malwood","5 - Total",1,0,71108,3,244,3,5,4,0,34,0,34,74,2,25,18,7,76,247,0,22,16,6,178,29,0,58,1.461695054,4.83,652.6658738,652.6658738,0,0,10.43797165,0.047959082,0,10.48593073,74.0928447,34.20704608,2.076961234,0.71450244,34.09451235,16.72112968,100.4394225,23.14814815,22.27153384,0.087088857,0.545984413,0.480068088,0.068658496,7.280055308,0.042874157,0.019330809,2.5,1.295631091,3.087749035,4.39,44.7,25.8,18.06,19.6,0.244734145,128.420369,146.64483,22,28,50,25,25,10,35,15,15,0.53,10,47.06,23.192,70.252,0.22,0.28,0.5,0.25,0.25,0.1,0.35,0.15,0.15,0.01,0.1,0.0053,0.1,0.4706,0.23192,0.70252,0.740928447,0.342070461
"41","MarkAsh","1 - Intact",0,66.16,57210,0,38,3,17,0,6,0,0,0,51,6,8,4,4,57,41,0,33,0,33,21,1,0,3,1.246051368,4.2,0,0,0,0,0,0,0.045319359,0.045319359,75.28159986,4.693498407,1.161539558,0.049489585,36.02906882,4.295971364,109.8987982,9.36116382,28.60746454,0.096927991,0.409270015,0.204151381,0.047296102,3.379043633,0.035061538,0.035680195,3.4314,1.241198785,3.213592777,4.44,1712,43.4,14.92,17.4,2.250488043,489.1013288,531.6758054,15,28,57,0,5,0,5,95,10,0,1,1.82,0,1.82,0.15,0.28,0.57,0.001,0.05,0.001,0.05,0.95,0.1,0.01,0.001,0.001,0.01,0.0182,0.001,0.0182,0.752815999,0.046934984
"42","MarkAsh","2 - Slight",0.23116168,50.86,64303,30,24,8,10,1,4,3,0,3,32,16,13,8,5,48,32,0,29,4,25,101,1,0,3,1.277879276,4.87,0,0,0,0,6.811484953,0.182421813,0,6.993906766,69.78853971,4.239196874,2.549359497,1.466760733,31.01726653,8.464686593,104.8387097,16.31878558,22.84773062,0.107753427,0.419783544,0.183680446,0.065613673,3.027838167,0.075263672,0.063986164,3.8416,1.259870272,2.188932809,5.01,1295,49.4,15.18,19.1,0.961945227,373.8018511,443.6352941,14,27,59,45,5,1,6,95,10,0.32,1,12.09,0,12.09,0.14,0.27,0.59,0.45,0.05,0.01,0.06,0.95,0.1,0.01,0.01,0.0032,0.01,0.1209,0.001,0.1209,0.697885397,0.042391969
"43","MarkAsh","3 - Moderate",0.498305469,33.19,57210,4,42,0,10,0,3,0,0,0,81,0,19,13,6,81,42,0,17,0,17,14,3,0,4,1.414717104,6.1,3248.930403,3248.930403,0,0,6.664488458,0,0,6.664488458,71.91412811,4.436339065,0.958752392,0.915517089,17.41655548,3.865861775,55.18659077,14.6742568,26.45045614,0.114942814,0.304964891,0.160779667,0.072528778,3.750718562,0.127705962,0.070518058,3.4317,1.245103241,2.652548284,5,105.3,31.4,15.44,19.6,1.034676699,282.5981605,330.2672263,13,25,62,30,25,0,25,70,10,0.16,10,34.008,0,34.008,0.13,0.25,0.62,0.3,0.25,0.001,0.25,0.7,0.1,0.01,0.01,0.0016,0.1,0.34008,0.001,0.34008,0.719141281,0.044363391
"44","MarkAsh","4 - Major",0.731016698,17.8,57210,100,0,0,4,0,1,0,0,0,0,0,7,4,3,0,0,0,29,0,29,4,7,0,11,1.023401232,5.43,0,0,0,0,10.80490328,0,0,10.80490328,72.85362152,5.328125717,2.799357332,1.342183539,13.45655043,4.427962493,61.51170145,15.93927894,23.16110948,0.08674855,0.452932175,0.151747768,0.059454518,0.583036952,0.064308173,0.00793047,3.616,1.246739376,2.24851605,4.16,95.3,32.4,15.76,19.8,0.950809092,197.449983,292.734201,14,28,58,98,0,0,0,98,0,1,1,56.875,0,56.875,0.14,0.28,0.58,0.98,0.001,0.001,0.001,0.98,0.001,0.001,0.01,0.01,0.01,0.56875,0.001,0.56875,0.728536215,0.053281257
"45","MarkAsh","5 - Total",1,0,64303,140,0,0,1,1,0,0,0,0,0,0,8,6,2,0,0,0,19,11,8,1,2,0,2,1.591782571,5.03,4860.200354,0,4860.200354,0,27.45790757,0,0,27.45790757,70.8710829,4.391154523,5.80780104,0.596347035,45.0252221,4.652194888,0,21.37887413,25.76899078,0.086865696,0.747006025,0.195853163,0.056055242,1.878207956,0.059754982,0.039615168,4.4409,1.246365303,2.295464221,3.83,1596,44,15.86,18.6,1.151351517,251.363832,378.4398227,14,28,58,90,0,1,1,10,5,1,1,58.24,22.88,81.12,0.14,0.28,0.58,0.9,0.001,0.01,0.01,0.1,0.05,0.01,0.01,0.01,0.01,0.5824,0.2288,0.8112,0.708710829,0.043911545
"46","Ridley","1 - Intact",0,66.12,71107,0,47,80,16,3,8,0,0,0,63,160,9,5,4,223,127,10,30,3,17,50,0,0,0,1.562178342,6.65,5806.461549,0,0,5806.461549,0,0,0,0,78.22750484,8.682628297,2.114987425,1.620360497,29.79676337,7.097614196,41.68070057,12.34983721,19.49197106,0.153881314,0.104507706,0.270704546,0.10600451,3.718913948,0.012476219,0.023231317,3.4402,1.324644706,3.276307793,4.05,88.9,42.6,13.68,17.8,0.309074283,367.1911971,373.6620975,22,29,49,1,1,0,1,100,5,0.504854369,0,1.365,0,1.365,0.22,0.29,0.49,0.01,0.01,0.001,0.01,0.999,0.05,0.01,0.001,0.005048544,0.001,0.01365,0.001,0.01365,0.782275048,0.086826283
"47","Ridley","2 - Slight",0.242779436,50.07,71107,4,142,218,14,3,5,0,0,0,189,421,17,10,7,610,360,5,55,14,36,163,43,1,50,1.444490352,4.97,2399.555014,0,2399.555014,0,2.652941766,0,1.916690087,4.569631853,74.53411374,7.59491811,3.404441737,0.977878234,46.69821398,9.769165186,72.55529359,5.192545189,18.65858829,0.147732138,0.443149397,0.32070502,0.10223188,2.507035144,0.052905303,0.031510388,5.6571,1.27906473,2.762461295,4.16,108.3,37,13.84,18,0.513605593,288.3800038,318.0625697,26,28,46,40,1,1,2,80,20,0.156862745,5,8.97,3.25,12.22,0.26,0.28,0.46,0.4,0.01,0.01,0.02,0.8,0.2,0.05,0.3,0.001568627,0.05,0.0897,0.0325,0.1222,0.745341137,0.075949181
"48","Ridley","3 - Moderate",0.507331028,32.58,71107,5,201,10,12,5,3,1,0,1,268,23,24,20,4,291,211,6,41,10,25,406,2,3,5,1.898870755,9.4,2454.046357,0,2454.046357,0,6.207394874,0.12959742,0,6.336992294,68.9163053,4.486897619,7.76356947,1.231874333,33.71024326,14.27251325,60.62647356,5.613562367,21.67671883,0.102921546,0.347837379,0.263466077,0.051233606,1.572232969,0.040617743,0.012214229,4.0284,1.239455098,2.939804973,3.95,101.2,39.8,14.32,18.1,0.558510497,303.5518265,330.4199746,23,31,46,1,15,2,17,15,5,0.523809524,1,26.715,0,26.715,0.23,0.31,0.46,0.01,0.15,0.02,0.17,0.15,0.05,0.02,0.25,0.005238095,0.01,0.26715,0.001,0.26715,0.689163053,0.044868976
"49","Ridley","4 - Major",0.793491159,13.65,71107,40,36,0,9,4,2,1,0,1,48,0,23,20,3,48,36,4,32,7,21,28,4,13,21,1.756361594,3.93,0,0,0,0,4.578138254,0,0.973364691,5.551502946,70.81825491,4.081615572,6.303903955,1.690186175,44.51259891,24.1580219,71.01156394,8.841360728,19.92910411,0.068747608,0.58385198,0.192162809,0.040553613,1.287467044,0.114014325,0.012265213,9.6642,1.228201954,1.918187918,4.47,59.6,34.4,16.54,28.1,0.27876591,159.2675732,174.7476486,26,32,42,60,10,1,11,5,7.5,0.373134328,40,21.32,25.74,47.06,0.26,0.32,0.42,0.6,0.1,0.01,0.11,0.05,0.075,0.01,0.15,0.003731343,0.4,0.2132,0.2574,0.4706,0.708182549,0.040816156
"50","Ridley","5 - Total",1,0,71107,92,5,85,1,4,0,1,0,1,9,169,23,20,3,178,89,8,29,15,6,169,8,3,12,1.571090751,7.37,21818.85098,20686.83156,1132.019422,0,16.58781311,0.466649385,0.348416239,17.40287874,78.93043901,4.790616787,6.870898588,3.048166659,71.99773381,16.35508306,44.20680364,8.139665432,19.02027575,0.051221547,0.401355885,0.164151605,0.043809732,1.055825787,0.040313947,0.014050315,5.0398,1.245938122,3.443532704,3.56,2000.59,36.7,17.8,26.4,0.368664639,177.5206651,245.0822784,13,25,62,70,10,0,10,1,1,0.049504951,15,75.01,4.68,79.69,0.13,0.25,0.62,0.7,0.1,0.001,0.1,0.01,0.01,0.01,0.15,0.00049505,0.15,0.7501,0.0468,0.7969,0.78930439,0.047906168
"51","Shave Wood","1 - Intact",0,59.85,71108,0,17,0,10,5,7,34,0,34,17,0,3,1,2,17,17,0,43,19,24,87,0,0,0,1.622699442,5.8,0,0,0,0,0.427517919,0,0,0.427517919,78.39620465,8.274221654,0.506934144,0.381892789,13.20475773,29.68693589,70.23678076,9.354680407,28.71861248,0.167344694,0.206923998,0.298783853,0.079947797,4.511391585,0.005762262,0.029539581,2.835,1.311801731,3.268035449,4.05,68.5,45.2,15.5,19.6,2.163140568,390.6609842,384.4103562,24,27,49,0,1,0,1,100,5,0.43,0,2.184,0,2.184,0.24,0.27,0.49,0.001,0.01,0.001,0.01,0.999,0.05,0.01,0.001,0.0043,0.001,0.02184,0.001,0.02184,0.783962047,0.082742217
"52","Shave Wood","2 - Slight",0.171398045,49.6,71108,0,20,0,6,10,6,40,6,46,26,0,5,1,4,26,20,0,32,18,14,116,0,0,1,1.537057929,5.75,87.4959734,0,87.4959734,0,1.356636911,0.007853982,0.096704348,1.461195241,76.73436864,7.694498056,0.795581469,0.374473398,23.48120656,39.88577123,73.15053368,23.15666789,22.09749397,0.163197447,0.516056784,0.530874305,0.078206429,4.985828764,0.021664795,0.025248807,3.245,1.286316122,2.884977302,4.26,57.5,43.5,16.025,20.6,0.763085798,298.0316978,302.4208377,18,31,51,0,1,0,1,99,5,0.46,0,6.24,1.456,7.696,0.18,0.31,0.51,0.001,0.01,0.001,0.01,0.99,0.05,0.01,0.001,0.0046,0.001,0.0624,0.01456,0.07696,0.767343686,0.076944981
"53","Shave Wood","3 - Moderate",0.469585733,31.75,71108,10,10,0,11,9,3,19,0,19,14,0,13,9,4,14,10,0,48,23,25,269,15,3,20,1.464765018,6.05,12108.85535,11557.46758,551.3877698,0,5.317632325,0,0,5.317632325,82.83735589,5.859153616,0.387159064,0.371258457,10.50442217,25.67128292,61.03545577,17.48251748,31.62027242,0.132138431,0.278261302,0.325734348,0.049218089,2.999097615,0.01904997,0.094845945,3.64,1.2752728,3.74382815,4.24,72.5,33,16.44,21,0.844619767,249.3925418,272.61328,23,37,40,0,60,0,60,40,5,0.37254902,1,17.94,7.384,25.324,0.23,0.37,0.4,0.001,0.6,0.001,0.6,0.4,0.05,0.08,0.01,0.00372549,0.01,0.1794,0.07384,0.25324,0.828373559,0.058591536
"54","Shave Wood","4 - Major",0.6904738,18.53,71108,42,30,0,7,8,4,17,0,17,40,0,18,12,6,40,30,0,43,17,26,254,69,0,72,1.569322836,8.05,1199.64988,0,1199.64988,0,2.211541427,0.041674106,0,2.253215533,75.017717,4.88515847,0.527083317,0.319088218,14.98044121,41.29555294,35.57845663,4.754017912,28.48194076,0.083486718,0.204076698,0.194420169,0.038732021,1.897437559,0.009854263,0.058557986,4.8396,1.461424037,3.82267176,4.05,72.7,37.66666667,18.53333333,21.7,0.638138475,153.7780967,129.9687433,25,26,49,20,40,1,41,55,5,0.057692308,5,18.928,22.828,41.756,0.25,0.26,0.49,0.2,0.4,0.01,0.41,0.55,0.05,0.1,0.01,0.000576923,0.05,0.18928,0.22828,0.41756,0.75017717,0.048851585
"55","Shave Wood","5 - Total",1,0,71108,75,41,6,5,7,0,17,0,17,51,6,25,22,3,57,47,0,12,8,4,78,2,0,3,1.793569281,5.42,0,0,0,0,7.132702413,0.031526511,0.341313046,7.505541969,66.67531536,5.136971904,1.420614429,0.557283403,29.54177641,24.36950952,63.64249785,6.747638327,18.58128488,0.102665428,0.997466106,0.509012058,0.061751397,3.385831067,0.029787629,0.06612867,3.8416,1.392195265,3.583654312,4.39,74,37.5,18,21,0.826462055,121.7448731,103.2931068,25,28,47,25,15,2,17,15,70,0.394230769,15,43.784,19.968,63.752,0.25,0.28,0.47,0.25,0.15,0.02,0.17,0.15,0.7,0.05,0.15,0.003942308,0.15,0.43784,0.19968,0.63752,0.666753154,0.051369719
"56","WoodCrates","1 - Intact",0,98.39,71107,0,24,26,9,7,5,8,0,8,32,57,10,6,4,89,50,0,25,8,17,19,1,0,1,1.373111615,5.63,15361.48869,0,15361.48869,0,2.36378818,0.012192882,0,2.375981062,72.097149,5.364349735,9.496642692,0.189814033,40.2201805,4.119219299,90.61653117,15.07452575,26.70777745,0.122526059,0.240146606,0.19664747,0.070433367,2.597555575,0.038111878,0.126993851,3.4281,1.26985588,2.516140183,4.17,88.6,100,15.15,17.8,1.213272745,682.6667895,791.0969223,23,43,34,1,1,0,1,99,0,0.695238095,0,0.39,1.352,1.742,0.23,0.43,0.34,0.01,0.01,0.001,0.01,0.99,0.001,0.01,0.001,0.006952381,0.001,0.0039,0.01352,0.01742,0.72097149,0.053643497
"57","WoodCrates","2 - Slight",0.470320496,52.12,71107,1,23,10,15,10,5,10,0,10,31,13,10,6,4,44,33,6,65,20,39,28,2,0,3,1.468048423,7.1,4665.865127,2912.228116,1753.637011,0,2.385033159,0,0,2.385033159,74.75800996,4.198006174,0.634791651,0.370798281,12.51662797,2.431223244,58.26558266,6.775067751,28.95071937,0.13506263,0.13129439,0.221859816,0.059918009,3.530427447,0.019871642,0.136266321,2.6196,1.240320249,2.831170764,4.2,71.3,50.6,15.44,19.3,1.307534378,328.9781328,373.8311906,18,39,43,1,1,0,1,95,20,0.480392157,1,8.71,2.54,11.25,0.18,0.39,0.43,0.01,0.01,0.001,0.01,0.95,0.2,0.01,0.001,0.004803922,0.01,0.0871,0.0254,0.1125,0.7475801,0.041980062
"58","WoodCrates","3 - Moderate",0.622714311,37.12,71107,0,182,7,13,16,2,7,0,7,242,14,19,15,4,256,189,0,44,24,20,65,7,0,7,1.46745539,6.3,15331.37303,0,15331.37303,0,0.58936297,0,0,0.58936297,75.11173982,5.325170033,0.9750947,0.191143731,18.30003551,2.833496593,83.33333333,14.05826558,22.75036841,0.162236076,0.254969413,0.199243488,0.07392291,2.673781249,0.029427287,0.085251447,3.2262,1.278751563,2.899281575,4.32,92.3,43.05,15.825,17.1,1.192657247,308.7795629,332.4855821,21,35,44,1,1,2,3,88,30,0.64,10,13.26,10.53,23.79,0.21,0.35,0.44,0.01,0.01,0.02,0.03,0.88,0.3,0.01,0.01,0.0064,0.1,0.1326,0.1053,0.2379,0.751117398,0.0532517
"59","WoodCrates","4 - Major",0.802421131,19.44,71107,14,51,21,5,2,1,7,1,8,73,42,29,24,5,115,72,1,23,4,18,141,2,0,4,1.344786436,5.1,1357.648952,0,1357.648952,0,11.81636833,0.082131911,0.015132005,11.91363224,68.93891868,3.980547062,1.61036452,0.378629244,27.36596087,4.324256951,92.98780488,11.68699187,21.24997963,0.091258587,0.219783313,0.152815818,0.037397383,2.368703611,0.035770852,0.045195389,2.8188,1.266514821,2.394075253,4.49,59,31.75,15.575,18.5,0.69888057,242.806435,340.7173469,8,16,76,25,10,1,11,50,5,0.33,10,39.52,2.925,42.445,0.08,0.16,0.76,0.25,0.1,0.01,0.11,0.5,0.05,0.01,0.05,0.0033,0.1,0.3952,0.02925,0.42445,0.689389187,0.039805471
"60","WoodCrates","5 - Total",1,0,71107,45,28,44,3,6,0,7,0,7,41,44,23,16,7,85,72,3,23,18,2,105,8,1,13,1.506177515,5,2863.999464,0,2863.999464,0,3.9835755,0.11015149,0,4.093726991,69.14069198,2.53267746,1.846823326,0.090547142,19.227172,4.401071465,113.4823848,19.1395664,21.87930769,0.161819865,0.410021976,0.163044669,0.049559205,1.965389967,0.085795659,0.021994413,3.8308,1.211520758,1.976839688,4.81,69.1,46.35,16.375,17.8,0.480794876,61.9365581,66.12135733,15,26,59,35,1,1,2,5,5,0.417475728,30,48.62,3.952,52.572,0.15,0.26,0.59,0.35,0.01,0.01,0.02,0.05,0.05,0.01,0.4,0.004174757,0.3,0.4862,0.03952,0.52572,0.69140692,0.025326775
