"","Site","Plot","SBAPC","SBA","Soil_Type","Sward","CerDungPro","EqqDungPro","Fungi","Ilexno","Fagusno","IlexJuv","FagusJuv","TotJuv","Cervus.DungTot","Eqqus.DungTot","CompTot","CompGF","CompTree","DungTot","DungTotPro","LichenRichOth","LichenRichTot","LichenRicHol","LichenRichBeech","IlexSL","FagusSL","QuerSL","TotSL","BD..g.cm3.","Depth","SnagTot","SnagFagus","SnagIlex","SnagQuer","Fagus.deadwood..m3.","Ilex.Lying.Deadwood..m3.","Quercus.Lying.Deadwood..m3.","Lying.Deadwood.Total..m3.","LOIO","LOIM","NO3O","NO3M","NH4O","NH4M","PMNO","PMNM","CNRatioSoil","K","Ca","Mg","Na","Al","Mn","Fe","P","MF_Min","MF_Org","pH","EC","Soil_Respiration","Soil_Temp","Amb_Temp","MFSR","C_Storage..tonnes.hectares.","Biomass..m3.ha.","Clay","Silt","Sand","Bracken","Moss","BareGround","BG.M","Litter","Trampling","IlexEat","Grass","Canopy_openness","Under_openness","Canopy.Openness.Total","X100Clay","X100Silt","X100Sand","X100Bracken","X100Moss","X100BareGround","X100BG.M","X100Litter","X100Trampling","X100Hollyshrub","X100Rubusshrub","X100IlexEat","X100Grass","X100Canopy_openness","X100Under_openness","X100Canopy_Open_Total","X100LOIO","X100LOIM"
"12","Brinken","2 - Slight",0.23069536,47.91,84102,9,41,34,14,1,4,0,0,0,54,72,13,10,3,126,74,0,26,3,23,17,0,1,1,1.402967943,3,252.8294863,0,252.8294863,0,0.606770844,0.058185438,0.018209613,0.683165895,71.01948605,5.216484873,0.861600638,0.355620624,20.87455269,11.66626653,74.3200506,11.85958254,19.08394022,0.125419368,0.364113122,0.218759014,0.078710138,2.309719892,0.156506177,0.018151036,5.247,1.274137893,1.12915031,4.13,99.1,38,12.42,17.4,0.445441419,252.3664037,269.8749106,17,27,56,35,0,0,0,50,10,0.619047619,35,13.468,0,13.468,0.17,0.27,0.56,0.35,0.001,0.001,0.001,0.5,0.1,0.01,0.01,0.006190476,0.35,0.13468,0.001,0.13468,0.710194861,0.052164849
"13","Brinken","3 - Moderate",0.486219101,32,84102,13,64,2,6,3,3,10,4,15,75,4,27,22,5,79,65,0,41,16,25,121,16,0,20,1.790481078,3.23,247.4004215,0,0,0,8.131792882,0.052245668,0.04870254,8.232741089,84.26834615,3.733350885,1.880776194,0.126011908,63.52771347,17.37483216,114.0101202,1.106894371,18.62628136,0.082125009,0.326694019,0.162524432,0.050787672,2.241402022,0.064633665,0.016223502,3.427,1.245830423,1.951305302,4.7,48.4,48,12.38,18.2,1.660583257,266.6446026,327.2707633,15,25,60,15,10,1,11,1,5,0.38,60,34.424,12.792,47.216,0.15,0.25,0.6,0.15,0.1,0.01,0.11,0.01,0.05,0.01,0.15,0.0038,0.6,0.34424,0.12792,0.47216,0.842683462,0.037333509
"14","Brinken","4 - Major",0.729098187,16.87,84102,5,20,0,7,4,2,0,0,0,40,0,27,22,5,40,20,12,33,15,6,30,0,0,1,1.411822898,3.2,0,0,0,0,0.334232445,0,1.159285297,1.493517742,75.5757936,5.24569533,8.09078102,1.643876916,42.24446565,17.41951186,145.4775459,8.064516129,14.54438671,0.043593284,0.450454745,0.168760147,0.036796173,2.386396064,0.080739027,0.011435387,4.04,1.277527203,2.034954014,3.99,148,19,14.8,23.6,0.394317882,137.7293817,137.7825516,16,33,51,1,1,1,2,1,50,0.5,99,52.208,0,52.208,0.16,0.33,0.51,0.01,0.01,0.01,0.02,0.01,0.5,0.01,0.05,0.005,0.99,0.52208,0.001,0.52208,0.755757936,0.052456953
"15","Brinken","5 - Total",1,0,84102,82,38,0,1,0,0,0,0,0,50,0,31,26,5,50,38,6,13,0,7,1,0,0,0,1.476388108,3.9,18745.17978,18745.17978,0,0,7.494839998,0.048800715,0.095386267,7.639026979,77.64067906,5.777491373,3.202634539,1.349900007,41.69445589,13.63916614,130.2972802,12.49209361,14.27174554,0.082834021,0.728927554,0.237431643,0.062362967,2.064031697,0.055409325,0.010970674,4.851,1.295904007,1.898704762,4.26,138.4,34,14.6,24.1,2.567755285,103.6655732,105.5110985,16,25,59,50,10,1,11,1,75,0.28,50,72.8,8.424,81.224,0.16,0.25,0.59,0.5,0.1,0.01,0.11,0.01,0.75,0.01,0.05,0.0028,0.5,0.728,0.08424,0.81224,0.776406791,0.057774914
"16","Brockis Hill","1 - Intact",0,66.25,71108,0,0,6,15,0,7,49,0,49,0,11,6,3,3,11,6,0,31,3,28,148,0,0,0,1.659420505,6.37,2829.318344,2829.318344,0,0,0,0,0,0,31.68096896,8.277298486,1.918372136,0.301398763,32.19924909,10.11727029,81.46742568,17.85112833,27.42542378,0.116577198,0.102707279,0.190324922,0.080779908,3.055978756,0.004041279,0.029816253,3.6396,1.265874804,2.877558203,4.41,47.6,44.6,15,17.2,0.824689964,370.5589714,356.2076312,17,26,57,0,1,1,2,100,50,0.792079208,1,1.04,0.91,1.95,0.17,0.26,0.57,0.001,0.01,0.01,0.02,0.999,0.5,0.01,0.001,0.007920792,0.01,0.0104,0.0091,0.0195,0.31680969,0.082772985
"17","Brockis Hill","2 - Slight",0.259049231,49.09,71108,0,172,1,14,1,9,65,0,65,230,2,2,0,2,232,173,0,28,6,22,147,2,0,2,1.235240822,4.87,0,0,0,0,0.052857296,0,1.219631351,1.272488648,24.12576788,13.24857948,0.277369034,0.124637031,31.47693774,5.92744266,63.50411132,15.04434714,24.6357226,0.177242384,0.196097412,0.379818929,0.101075039,7.91717878,0.004011575,0.039142169,2.5,1.308688825,2.912374856,3.93,95.1,40.6,15.16,17.4,0.658447315,254.4022723,240.7690503,16,27,57,0,1,0,1,100,5,1,0,6.552,1.872,8.424,0.16,0.27,0.57,0.001,0.01,0.001,0.01,0.999,0.05,0.01,0.001,0.01,0.001,0.06552,0.01872,0.08424,0.241257679,0.132485795
"18","Brockis Hill","3 - Moderate",0.491061903,33.72,71108,0,30,7,8,0,4,0,0,0,40,18,3,1,2,58,37,0,23,1,22,766,0,0,0,1.195027775,4.55,12597.6148,12597.6148,0,0,3.205811206,0,0.157363161,3.363174367,37.08458114,38.93253977,0,0.579640934,25.30055137,7.964262724,73.75079064,26.83282811,18.41712485,0.173913714,0.278374911,0.969234205,0.133133327,10.95811572,0.029716637,0.029087513,2.8704,1.352495513,2.531109327,4.21,68.1,43.4,16.64,19,1.802049909,289.8409942,293.7270776,15,23,62,0,5,0,5,95,15,0.26,0,15.6,0,15.6,0.15,0.23,0.62,0.001,0.05,0.001,0.05,0.95,0.15,0.2,0.001,0.0026,0.001,0.156,0.001,0.156,0.370845811,0.389325398
"19","Brockis Hill","4 - Major",0.724669267,18.24,71108,34,748,0,9,2,5,20,0,20,1058,0,10,8,2,1058,748,3,20,5,12,283,0,0,0,1.545219527,3.77,4532.006322,0,870.9450404,3661.061282,3.088229974,0.052720009,0,3.140949983,36.2371676,31.97744639,3.508519292,0.714639557,17.59374106,4.439037501,128.399747,22.56652071,22.83837951,0.117274985,0.655804247,0.439397727,0.073599455,5.882300771,0.018606885,0.022759614,3.0502,1.250619226,2.455963505,4.23,58.1,40.4,16.98,22.3,1.548186668,151.2899805,118.3652542,12,23,65,20,20,5,25,75,40,0.617647059,1,32.656,0,32.656,0.12,0.23,0.65,0.2,0.2,0.05,0.25,0.75,0.4,0.05,0.01,0.006176471,0.01,0.32656,0.001,0.32656,0.362371676,0.319774464
"20","Brockis Hill","5 - Total",1,0,71108,26,231,2,7,1,0,76,0,76,278,11,20,17,3,289,233,2,18,15,1,105,5,0,5,1.387694344,3.4,0,0,0,0,11.16928613,0,0,11.18027919,58.66135007,27.84439934,3.573779762,0.122888528,27.40917329,8.986444931,156.1037318,20.99472325,15.83659049,0.191801161,0.839206789,0.437172621,0.053605015,9.051505,0.178503975,0.018512637,2.5,1.290329541,2.42094758,4.03,107.2,49.8,16.82,24.1,1.233792417,130.5508913,154.0551767,13,23,64,0,2,1,3,30,15,0.3786,25,52.52,6.89,59.41,0.13,0.23,0.64,0.001,0.02,0.01,0.03,0.3,0.15,0.08,0.2,0.003786,0.25,0.5252,0.0689,0.5941,0.586613501,0.278443993
"21","DennyWood","1 - Intact",0,61.76,71107,0,23,3,13,4,14,0,1,1,40,5,3,1,2,45,26,0,48,8,40,1,0,0,0,1.112519408,4.5,494.452517,0,494.452517,0,0.548584493,0.064325131,0,0.612909624,39.71781547,59.74752021,8.145715493,1.568921871,26.55873165,10.84521317,89.84620213,14.41540915,19.49956649,0.068194854,0.307920551,0.273492155,0.069126138,3.144230484,0.022680568,0.015244551,6.8794,1.267206127,2.304867225,3.77,1160,45.4,14.98,16.5,0.580467798,299.3565669,319.2923691,16,28,56,0,1,1,2,100,15,1,0,1.612,0,1.612,0.16,0.28,0.56,0.001,0.01,0.01,0.02,0.999,0.15,0.001,0.001,0.01,0.001,0.01612,0.001,0.01612,0.397178155,0.597475202
